

*** Refreshing session trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x1749b, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
122897.323887,00103,0034: execute succeeded
122897.323918,00103,0034: before writing message
122897.324298,00103,0034: writing message completed
122897.324306,00103,0034: waiting for command
122897.326812,00103,0034: cmd: "load_dish"
122897.326820,00103,0034: got: "---"
122897.326827,00103,0034: got: "- aaxh"
122897.326830,00103,0034: got: "..."
122897.326906,00103,0034: yaml parsing succeeded
122897.327019,00103,0034: parsed params:
---
- aaxh
122897.327040,00103,0034: got command
122897.327047,00103,0034: before check input parameters
122897.327051,00103,0034: before calling execute
122897.327708,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
122897.329081,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
122897.396001,00103,0f0a: Initialize: enter
122897.396012,00103,0f0a: Initialize: exit (11 us)
122897.396061,00103,0034: AAXDishCommon::CSharedData created
122897.396157,00103,0034: yaml parsing succeeded
122897.396388,00103,0034: yaml parsing succeeded
122897.397160,00103,0034: yaml parsing succeeded
122897.397245,00103,0034: yaml parsing succeeded
122897.397327,00103,0034: yaml parsing succeeded
122897.397404,00103,0034: yaml parsing succeeded
122897.397526,00103,0034: yaml parsing succeeded
122897.397981,00103,0034: yaml parsing succeeded
122897.398111,00103,0034: yaml parsing succeeded
122897.398848,00103,0034: yaml parsing succeeded
122897.400282,00103,0034: yaml parsing succeeded
122897.400744,00103,0034: yaml parsing succeeded
122897.402251,00103,0034: yaml parsing succeeded
122897.402608,00103,0034: yaml parsing succeeded
122897.402976,00103,0034: yaml parsing succeeded
122897.403609,00103,0034: yaml parsing succeeded
122897.404051,00103,0034: yaml parsing succeeded
122897.404382,00103,0034: yaml parsing succeeded
122897.404802,00103,0034: dish loaded
122897.404809,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:DAE.dish:"
122897.404811,00103,0034: dish ignored
122897.404817,00103,0034: execute succeeded
122897.404819,00103,0034: before writing message
122897.404917,00103,0034: writing message completed
122897.404919,00103,0034: waiting for command
122897.405735,00103,0034: cmd: "init"
122897.405740,00103,0034: got: "--- debug_max"
122897.405741,00103,0034: got: "..."
122897.405746,00103,0034: yaml parsing succeeded
122897.405771,00103,0034: parsed params:
--- debug_max
122897.405774,00103,0034: got command
122897.405775,00103,0034: before check input parameters
122897.405776,00103,0034: cmd: init
122897.405799,00103,0034: 
failed sequence '""', user input 'debug_max', failure reason - got non empty input when expected empty element
122897.405827,00103,0034: before calling execute
122897.405843,00103,0034: DSH_TParameter::SetFromAny - set parameter "debuglevel" to "15"
122897.405850,00103,0f0a: AAXHShell_SetDebugLevel: returning true
122897.405858,00103,0f0a: AAXHShell_GetDebugLevel: returning true
122897.405873,00103,0034: execute succeeded
122897.405876,00103,0034: before writing message
122897.406004,00103,0034: writing message completed
122897.406007,00103,0034: waiting for command
122897.406771,00103,0034: cmd: "loadpi"
122897.406779,00103,0034: got: "--- "/Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin""
122897.406781,00103,0034: got: "..."
122897.406787,00103,0034: yaml parsing succeeded
122897.406832,00103,0034: parsed params:
--- /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
122897.406835,00103,0034: got command
122897.406837,00103,0034: before check input parameters
122897.406838,00103,0034: cmd: loadpi
122897.406861,00103,0034: before calling execute
122897.406870,00103,0034: DSH_TParameter::SetFromAny - set parameter "path" to "/Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin"
122897.406893,00103,0f0a: AAXHShell_CCommandManager::CreateList - created command list id: 0
122897.406894,00103,0f0a: AAXHShell_CreateCommandList: returning true
122897.406902,00103,0f0a: AAXHShell_AddCommandListData: returning true
122897.406903,00103,0f0a: AAXHShell_AddCommandListData: returning true
122897.406907,00103,0f0a: AAXHShell_CCommandManager::Push - pushed command to command list id: 0
122897.406909,00103,0f0a: AAXHShell_PushCommandLoadPlugIn: returning true
122897.406910,00103,0f0a: AAXHShell_CCommandManager::DoActionOnList - executing action: 0, command list id: 0
122897.406913,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Execute: enter
122897.406915,00103,0f0a: LoadPlugIn: enter
122897.406916,00103,0f0a:   path: /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
122897.415942,00103,0f0a: AAXHShell_CPlugInManager::LoadPlugIn succeeded - id: 0, collection: 0x600001571180, plug-in: /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
122897.415952,00103,0f0a: LoadPlugIn: exit (9037 us)
122897.415953,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Execute: exit (9039 us)
122897.415957,00103,0f0a: AAXHShell_ExecuteCommandList: returning true
122897.415964,00103,0f0a: AAXHShell_GetCommandListData: returning true
122897.415980,00103,0f0a: AAXHShell_GetCommandListData: returning true
122897.415989,00103,0f0a: AAXHShell_GetCommandListData: returning true
122897.415998,00103,0f0a: AAXHShell_GetPlugInPath: returning true
122897.416008,00103,0034: execute succeeded
122897.416011,00103,0034: before writing message
122897.416147,00103,0034: writing message completed
122897.416150,00103,0034: waiting for command
122897.416666,00103,0034: cmd: "listeffects"
122897.416669,00103,0034: got: "--- 0"
122897.416671,00103,0034: got: "..."
122897.416679,00103,0034: yaml parsing succeeded
122897.416706,00103,0034: parsed params:
--- 0
122897.416709,00103,0034: got command
122897.416711,00103,0034: before check input parameters
122897.416712,00103,0034: cmd: listeffects
122897.416734,00103,0034: 
failed sequence '""', user input '0', failure reason - got non empty input when expected empty element
122897.416757,00103,0034: before calling execute
122897.416769,00103,0034: DSH_TParameter::SetFromAny - set parameter "plugin" to "0"
122897.416774,00103,0f0a: AAXHShell_GetCommandListData: returning true
122897.416778,00103,0f0a: AAXHShell_GetCommandListData: returning true
122897.416782,00103,0f0a: AAXHShell_GetPlugInPath: returning true
122897.416785,00103,0f0a: AAXHShell_GetCommandListData: returning true
122897.416787,00103,0f0a: AAXHShell_GetNumberOfEffects: returning true
122897.416788,00103,0f0a: AAXHShell_GetCommandListData: returning true
122897.416792,00103,0f0a: AAXHShell_GetEffectIDByIndex: returning true
122897.416823,00103,0034: execute succeeded
122897.416827,00103,0034: before writing message
122897.417042,00103,0034: writing message completed
122897.417046,00103,0034: waiting for command
122897.418171,00103,0034: cmd: "getdescription"
122897.418175,00103,0034: got: "---"
122897.418177,00103,0034: got: "plugin: 0"
122897.418178,00103,0034: got: "effect: 0"
122897.418180,00103,0034: got: "stringformat: yaml"
122897.418182,00103,0034: got: "..."
122897.418187,00103,0034: yaml parsing succeeded
122897.418300,00103,0034: parsed params:
---
effect: 0
plugin: 0
stringformat: yaml
122897.418307,00103,0034: got command
122897.418309,00103,0034: before check input parameters
122897.418310,00103,0034: cmd: getdescription
122897.418493,00103,0034: 
failed sequence '"[plugin_listval, effect_listval]"' matching element '[plugin_listval, effect_listval]' with user input '{effect: 0, plugin: 0, stringformat: yaml}', failure reason - not a list
122897.418631,00103,0034: before calling execute
122897.418644,00103,0034: DSH_TParameter::SetFromAny - set parameter "effect" to "0"
