

*** Refreshing session trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x174b3, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
122902.177299,00103,0034: execute succeeded
122902.177310,00103,0034: before writing message
122902.177455,00103,0034: writing message completed
122902.177459,00103,0034: waiting for command
122902.178473,00103,0034: cmd: "load_dish"
122902.178483,00103,0034: got: "---"
122902.178488,00103,0034: got: "- aaxh"
122902.178492,00103,0034: got: "..."
122902.178507,00103,0034: yaml parsing succeeded
122902.178568,00103,0034: parsed params:
---
- aaxh
122902.178578,00103,0034: got command
122902.178581,00103,0034: before check input parameters
122902.178584,00103,0034: before calling execute
122902.179080,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
122902.180212,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
122902.244986,00103,0f0a: Initialize: enter
122902.244997,00103,0f0a: Initialize: exit (10 us)
122902.245048,00103,0034: AAXDishCommon::CSharedData created
122902.245148,00103,0034: yaml parsing succeeded
122902.245377,00103,0034: yaml parsing succeeded
122902.246140,00103,0034: yaml parsing succeeded
122902.246222,00103,0034: yaml parsing succeeded
122902.246304,00103,0034: yaml parsing succeeded
122902.246379,00103,0034: yaml parsing succeeded
122902.246498,00103,0034: yaml parsing succeeded
122902.246945,00103,0034: yaml parsing succeeded
122902.247080,00103,0034: yaml parsing succeeded
122902.247812,00103,0034: yaml parsing succeeded
122902.249262,00103,0034: yaml parsing succeeded
122902.249717,00103,0034: yaml parsing succeeded
122902.251112,00103,0034: yaml parsing succeeded
122902.251438,00103,0034: yaml parsing succeeded
122902.251781,00103,0034: yaml parsing succeeded
122902.252378,00103,0034: yaml parsing succeeded
122902.252809,00103,0034: yaml parsing succeeded
122902.253149,00103,0034: yaml parsing succeeded
122902.253564,00103,0034: dish loaded
122902.253574,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:DAE.dish:"
122902.253576,00103,0034: dish ignored
122902.253582,00103,0034: execute succeeded
122902.253584,00103,0034: before writing message
122902.253680,00103,0034: writing message completed
122902.253681,00103,0034: waiting for command
122902.254448,00103,0034: cmd: "init"
122902.254453,00103,0034: got: "--- debug_max"
122902.254454,00103,0034: got: "..."
122902.254459,00103,0034: yaml parsing succeeded
122902.254486,00103,0034: parsed params:
--- debug_max
122902.254489,00103,0034: got command
122902.254490,00103,0034: before check input parameters
122902.254492,00103,0034: cmd: init
122902.254513,00103,0034: 
failed sequence '""', user input 'debug_max', failure reason - got non empty input when expected empty element
122902.254540,00103,0034: before calling execute
122902.254557,00103,0034: DSH_TParameter::SetFromAny - set parameter "debuglevel" to "15"
122902.254566,00103,0f0a: AAXHShell_SetDebugLevel: returning true
122902.254573,00103,0f0a: AAXHShell_GetDebugLevel: returning true
122902.254588,00103,0034: execute succeeded
122902.254591,00103,0034: before writing message
122902.254710,00103,0034: writing message completed
122902.254713,00103,0034: waiting for command
122902.255453,00103,0034: cmd: "loadpi"
122902.255460,00103,0034: got: "--- "/Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin""
122902.255462,00103,0034: got: "..."
122902.255467,00103,0034: yaml parsing succeeded
122902.255509,00103,0034: parsed params:
--- /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
122902.255512,00103,0034: got command
122902.255514,00103,0034: before check input parameters
122902.255515,00103,0034: cmd: loadpi
122902.255537,00103,0034: before calling execute
122902.255546,00103,0034: DSH_TParameter::SetFromAny - set parameter "path" to "/Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin"
122902.255567,00103,0f0a: AAXHShell_CCommandManager::CreateList - created command list id: 0
122902.255569,00103,0f0a: AAXHShell_CreateCommandList: returning true
122902.255577,00103,0f0a: AAXHShell_AddCommandListData: returning true
122902.255578,00103,0f0a: AAXHShell_AddCommandListData: returning true
122902.255583,00103,0f0a: AAXHShell_CCommandManager::Push - pushed command to command list id: 0
122902.255584,00103,0f0a: AAXHShell_PushCommandLoadPlugIn: returning true
122902.255585,00103,0f0a: AAXHShell_CCommandManager::DoActionOnList - executing action: 0, command list id: 0
122902.255588,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Execute: enter
122902.255590,00103,0f0a: LoadPlugIn: enter
122902.255591,00103,0f0a:   path: /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
122902.264633,00103,0f0a: AAXHShell_CPlugInManager::LoadPlugIn succeeded - id: 0, collection: 0x600000e8c620, plug-in: /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
122902.264643,00103,0f0a: LoadPlugIn: exit (9052 us)
122902.264644,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Execute: exit (9055 us)
122902.264648,00103,0f0a: AAXHShell_ExecuteCommandList: returning true
122902.264655,00103,0f0a: AAXHShell_GetCommandListData: returning true
122902.264671,00103,0f0a: AAXHShell_GetCommandListData: returning true
122902.264681,00103,0f0a: AAXHShell_GetCommandListData: returning true
122902.264690,00103,0f0a: AAXHShell_GetPlugInPath: returning true
122902.264699,00103,0034: execute succeeded
122902.264703,00103,0034: before writing message
122902.264836,00103,0034: writing message completed
122902.264838,00103,0034: waiting for command
122902.265361,00103,0034: cmd: "listeffects"
122902.265365,00103,0034: got: "--- 0"
122902.265366,00103,0034: got: "..."
122902.265372,00103,0034: yaml parsing succeeded
122902.265395,00103,0034: parsed params:
--- 0
122902.265398,00103,0034: got command
122902.265400,00103,0034: before check input parameters
122902.265401,00103,0034: cmd: listeffects
122902.265419,00103,0034: 
failed sequence '""', user input '0', failure reason - got non empty input when expected empty element
122902.265442,00103,0034: before calling execute
122902.265455,00103,0034: DSH_TParameter::SetFromAny - set parameter "plugin" to "0"
122902.265459,00103,0f0a: AAXHShell_GetCommandListData: returning true
122902.265463,00103,0f0a: AAXHShell_GetCommandListData: returning true
122902.265467,00103,0f0a: AAXHShell_GetPlugInPath: returning true
122902.265471,00103,0f0a: AAXHShell_GetCommandListData: returning true
122902.265473,00103,0f0a: AAXHShell_GetNumberOfEffects: returning true
122902.265474,00103,0f0a: AAXHShell_GetCommandListData: returning true
122902.265478,00103,0f0a: AAXHShell_GetEffectIDByIndex: returning true
122902.265508,00103,0034: execute succeeded
122902.265513,00103,0034: before writing message
122902.265710,00103,0034: writing message completed
122902.265714,00103,0034: waiting for command
122902.266857,00103,0034: cmd: "getdescription"
122902.266861,00103,0034: got: "---"
122902.266862,00103,0034: got: "plugin: 0"
122902.266864,00103,0034: got: "effect: 0"
122902.266866,00103,0034: got: "stringformat: yaml"
122902.266868,00103,0034: got: "..."
122902.266873,00103,0034: yaml parsing succeeded
122902.266987,00103,0034: parsed params:
---
effect: 0
plugin: 0
stringformat: yaml
122902.266993,00103,0034: got command
122902.266995,00103,0034: before check input parameters
122902.266996,00103,0034: cmd: getdescription
122902.267178,00103,0034: 
failed sequence '"[plugin_listval, effect_listval]"' matching element '[plugin_listval, effect_listval]' with user input '{effect: 0, plugin: 0, stringformat: yaml}', failure reason - not a list
122902.267300,00103,0034: before calling execute
122902.267313,00103,0034: DSH_TParameter::SetFromAny - set parameter "effect" to "0"
122902.267317,00103,0034: DSH_TParameter::SetFromAny - set parameter "plugin" to "0"
122902.267322,00103,0034: DSH_TParameter::SetFromAny - set parameter "stringformat" to "2"
122902.267329,00103,0f0a: AAXHShell_GetCommandListData: returning true
122902.267542,00103,0f0a: AAXHShell_GetEffectDescriptionSize: returning true
122902.267544,00103,0f0a: AAXHShell_GetCommandListData: returning true
122902.267547,00103,0f0a: AAXHShell_GetEffectDescription: returning true
122902.269795,00103,0034: execute succeeded
122902.269850,00103,0034: before writing message
122902.272325,00103,0034: writing message completed
122902.272357,00103,0034: waiting for command
122902.275329,00103,0034: cmd: "teardown"
122902.275333,00103,0034: got: "--- "
122902.275335,00103,0034: got: "..."
122902.275340,00103,0034: yaml parsing succeeded
122902.275342,00103,0034: parsed params:
--- ~
122902.275345,00103,0034: got command
122902.275346,00103,0034: before check input parameters
122902.275347,00103,0034: before calling execute
122902.275354,00103,0f0a: AAXHShell_CCommandManager::DoActionOnList - executing action: 1, command list id: 0
122902.275356,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Undo: enter
122902.275357,00103,0f0a: UnloadPlugIn: enter
122902.275359,00103,0f0a:   pi: 0
122902.275392,00103,0f0a: UnloadPlugIn: exit (34 us)
122902.275393,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Undo: exit (37 us)
122902.275396,00103,0f0a: AAXHShell_UndoCommandList: returning true
122902.275399,00103,0f0a: AAXHShell_DeleteCommandList: returning true
122902.275400,00103,0f0a: AAXHShell_UndoAndDeleteCommandList: returning true
122902.275528,00103,0f0a: Teardown: enter
122902.275534,00103,0f0a: Teardown: exit (6 us)
122902.275605,00103,0034: execute succeeded
122902.275608,00103,0034: before writing message
122902.275687,00103,0034: writing message completed
122902.275688,00103,0034: waiting for command
122902.275974,00103,0034: cmd: "exit"
122902.275978,00103,0034: got: "--- "
122902.275979,00103,0034: got: "..."
122902.275983,00103,0034: yaml parsing succeeded
122902.275986,00103,0034: parsed params:
--- ~
122902.275988,00103,0034: got command
122902.275989,00103,0034: before check input parameters
122902.275990,00103,0034: before calling execute
122902.275992,00103,0034: execute succeeded
122902.275994,00103,0034: before writing message
122902.276054,00103,0034: writing message completed
122902.276227,00103,0034: AAXDishCommon::CSharedData deleted
122902.276230,00103,0034: dish finalized


 *** DigiTrace Log Complete ***
