

*** Digidesign Session Trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x174c4, version=22.9.0)
*** Build Details:			Build: Desktop (2022-r3-aax-toolkit); Branch: ProTools_2022.R3.X; InternalVersion: 2022.R3.0; Target: Debug(1); Build: n/a 
*** Starting Timestamp:		Wednesday, 11 January 2023, 9:39:20 p.m. Central Standard Time (122903229776 uS)
*** System Details:			OS Version: 12.6,1, CPU Speed:  2.4 gHz, Architecture: Intel 64 bit, Num Processors: 8 logical 8 physical, Memory: 16384 MB
*** Build Date:				Sep 27 2022
*** Expected Release Date:		2022-09-28
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
122903.280412,00103,0034: register handler for signal: 2
122903.280416,00103,0034: register handler for signal: 15
122903.280418,00103,0034: register handler for signal: 11
122903.280420,00103,0034: register handler for signal: 6
122903.280421,00103,0034: register handler for signal: 4
122903.280423,00103,0034: register handler for signal: 8
122903.280425,00103,0034: register handler for signal: 3
122903.280427,00103,0034: register handler for signal: 1
122903.280429,00103,0034: register handler for signal: 13
122903.280431,00103,0034: register handler for signal: 10
122903.280433,00103,0034: register handler for signal: 12
122903.281021,00103,0034: yaml parsing succeeded
122903.281198,00103,0034: yaml parsing succeeded
122903.281268,00103,0034: yaml parsing succeeded
122903.281337,00103,0034: yaml parsing succeeded
122903.281696,00103,0034: yaml parsing succeeded
122903.282277,00103,0034: yaml parsing succeeded
122903.282859,00103,0034: yaml parsing succeeded
122903.282926,00103,0034: yaml parsing succeeded
122903.283229,00103,0034: yaml parsing succeeded
122903.283315,00103,0034: waiting for command
122903.283332,00103,0034: cmd: "clear_trace_config"
122903.283334,00103,0034: got: "--- "
122903.283335,00103,0034: got: "..."
122903.283338,00103,0034: yaml parsing succeeded
122903.283341,00103,0034: parsed params:
--- ~
122903.283344,00103,0034: got command
122903.283345,00103,0034: before check input parameters
122903.283347,00103,0034: before calling execute


 *** DigiTrace Log Complete ***
