

*** Refreshing session trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x1751c, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
122928.320177,00103,0034: execute succeeded
122928.320194,00103,0034: before writing message
122928.320447,00103,0034: writing message completed
122928.320454,00103,0034: waiting for command
122928.322101,00103,0034: cmd: "load_dish"
122928.322114,00103,0034: got: "---"
122928.322119,00103,0034: got: "- aaxh"
122928.322122,00103,0034: got: "..."
122928.322141,00103,0034: yaml parsing succeeded
122928.322234,00103,0034: parsed params:
---
- aaxh
122928.322253,00103,0034: got command
122928.322257,00103,0034: before check input parameters
122928.322260,00103,0034: before calling execute
122928.323182,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
122928.325334,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
122928.393194,00103,0f0a: Initialize: enter
122928.393203,00103,0f0a: Initialize: exit (9 us)
122928.393252,00103,0034: AAXDishCommon::CSharedData created
122928.393347,00103,0034: yaml parsing succeeded
122928.393575,00103,0034: yaml parsing succeeded
122928.394337,00103,0034: yaml parsing succeeded
122928.394422,00103,0034: yaml parsing succeeded
122928.394506,00103,0034: yaml parsing succeeded
122928.394581,00103,0034: yaml parsing succeeded
122928.394704,00103,0034: yaml parsing succeeded
122928.395154,00103,0034: yaml parsing succeeded
122928.395286,00103,0034: yaml parsing succeeded
122928.396011,00103,0034: yaml parsing succeeded
122928.397434,00103,0034: yaml parsing succeeded
122928.397883,00103,0034: yaml parsing succeeded
122928.399382,00103,0034: yaml parsing succeeded
122928.399751,00103,0034: yaml parsing succeeded
122928.400122,00103,0034: yaml parsing succeeded
