

*** Digidesign Session Trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x17576, version=22.9.0)
*** Build Details:			Build: Desktop (2022-r3-aax-toolkit); Branch: ProTools_2022.R3.X; InternalVersion: 2022.R3.0; Target: Debug(1); Build: n/a 
*** Starting Timestamp:		Wednesday, 11 January 2023, 9:40:12 p.m. Central Standard Time (122955320754 uS)
*** System Details:			OS Version: 12.6,1, CPU Speed:  2.4 gHz, Architecture: Intel 64 bit, Num Processors: 8 logical 8 physical, Memory: 16384 MB
*** Build Date:				Sep 27 2022
*** Expected Release Date:		2022-09-28
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
122955.371392,00103,0034: register handler for signal: 2
122955.371396,00103,0034: register handler for signal: 15
122955.371398,00103,0034: register handler for signal: 11
122955.371400,00103,0034: register handler for signal: 6
122955.371402,00103,0034: register handler for signal: 4
122955.371404,00103,0034: register handler for signal: 8
122955.371406,00103,0034: register handler for signal: 3
122955.371408,00103,0034: register handler for signal: 1
122955.371410,00103,0034: register handler for signal: 13
122955.371411,00103,0034: register handler for signal: 10
122955.371413,00103,0034: register handler for signal: 12
122955.372060,00103,0034: yaml parsing succeeded
122955.372256,00103,0034: yaml parsing succeeded
122955.372328,00103,0034: yaml parsing succeeded
122955.372387,00103,0034: yaml parsing succeeded
122955.372715,00103,0034: yaml parsing succeeded
122955.373249,00103,0034: yaml parsing succeeded
122955.373779,00103,0034: yaml parsing succeeded
122955.373839,00103,0034: yaml parsing succeeded
122955.374072,00103,0034: yaml parsing succeeded
122955.374154,00103,0034: waiting for command
122955.374166,00103,0034: cmd: "clear_trace_config"
122955.374168,00103,0034: got: "--- "
122955.374170,00103,0034: got: "..."
122955.374173,00103,0034: yaml parsing succeeded
122955.374176,00103,0034: parsed params:
--- ~
122955.374178,00103,0034: got command
122955.374180,00103,0034: before check input parameters
122955.374182,00103,0034: before calling execute


 *** DigiTrace Log Complete ***
