

*** Refreshing session trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x1762e, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
123016.824353,00103,0034: execute succeeded
123016.824386,00103,0034: before writing message
123016.824800,00103,0034: writing message completed
123016.824811,00103,0034: waiting for command
123016.827631,00103,0034: cmd: "load_dish"
123016.827642,00103,0034: got: "---"
123016.827647,00103,0034: got: "- aaxh"
123016.827651,00103,0034: got: "..."
123016.827680,00103,0034: yaml parsing succeeded
123016.827791,00103,0034: parsed params:
---
- aaxh
123016.827816,00103,0034: got command
123016.827822,00103,0034: before check input parameters
123016.827827,00103,0034: before calling execute
123016.828698,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
123016.830421,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
123016.900291,00103,0f0a: Initialize: enter
123016.900304,00103,0f0a: Initialize: exit (13 us)
123016.900358,00103,0034: AAXDishCommon::CSharedData created
123016.900461,00103,0034: yaml parsing succeeded
123016.900715,00103,0034: yaml parsing succeeded
123016.901541,00103,0034: yaml parsing succeeded
123016.901632,00103,0034: yaml parsing succeeded
123016.901719,00103,0034: yaml parsing succeeded
123016.901799,00103,0034: yaml parsing succeeded
123016.901927,00103,0034: yaml parsing succeeded
123016.902366,00103,0034: yaml parsing succeeded
123016.902498,00103,0034: yaml parsing succeeded
123016.903223,00103,0034: yaml parsing succeeded
123016.904674,00103,0034: yaml parsing succeeded
123016.905131,00103,0034: yaml parsing succeeded
123016.906583,00103,0034: yaml parsing succeeded
123016.906925,00103,0034: yaml parsing succeeded
123016.907283,00103,0034: yaml parsing succeeded
