

*** Digidesign Session Trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x1766b, version=22.9.0)
*** Build Details:			Build: Desktop (2022-r3-aax-toolkit); Branch: ProTools_2022.R3.X; InternalVersion: 2022.R3.0; Target: Debug(1); Build: n/a 
*** Starting Timestamp:		Wednesday, 11 January 2023, 9:41:26 p.m. Central Standard Time (123029401101 uS)
*** System Details:			OS Version: 12.6,1, CPU Speed:  2.4 gHz, Architecture: Intel 64 bit, Num Processors: 8 logical 8 physical, Memory: 16384 MB
*** Build Date:				Sep 27 2022
*** Expected Release Date:		2022-09-28
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
123029.451197,00103,0034: register handler for signal: 2
123029.451200,00103,0034: register handler for signal: 15
123029.451203,00103,0034: register handler for signal: 11
123029.451205,00103,0034: register handler for signal: 6
123029.451206,00103,0034: register handler for signal: 4
123029.451208,00103,0034: register handler for signal: 8
123029.451210,00103,0034: register handler for signal: 3
123029.451212,00103,0034: register handler for signal: 1
123029.451214,00103,0034: register handler for signal: 13
123029.451215,00103,0034: register handler for signal: 10
123029.451217,00103,0034: register handler for signal: 12
123029.451738,00103,0034: yaml parsing succeeded
123029.451915,00103,0034: yaml parsing succeeded
123029.451985,00103,0034: yaml parsing succeeded
123029.452050,00103,0034: yaml parsing succeeded
123029.452403,00103,0034: yaml parsing succeeded
123029.452948,00103,0034: yaml parsing succeeded
123029.453467,00103,0034: yaml parsing succeeded
123029.453526,00103,0034: yaml parsing succeeded
123029.453759,00103,0034: yaml parsing succeeded
123029.453835,00103,0034: waiting for command
123029.453847,00103,0034: cmd: "clear_trace_config"
123029.453849,00103,0034: got: "--- "
123029.453851,00103,0034: got: "..."
123029.453854,00103,0034: yaml parsing succeeded
123029.453857,00103,0034: parsed params:
--- ~
123029.453860,00103,0034: got command
123029.453861,00103,0034: before check input parameters
123029.453863,00103,0034: before calling execute


 *** DigiTrace Log Complete ***
