

*** Refreshing session trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x176c4, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
123060.464997,00103,0034: execute succeeded
123060.465024,00103,0034: before writing message
123060.465242,00103,0034: writing message completed
123060.465249,00103,0034: waiting for command
123060.466975,00103,0034: cmd: "load_dish"
123060.466992,00103,0034: got: "---"
123060.466997,00103,0034: got: "- aaxh"
123060.467000,00103,0034: got: "..."
123060.467029,00103,0034: yaml parsing succeeded
123060.467129,00103,0034: parsed params:
---
- aaxh
123060.467149,00103,0034: got command
123060.467154,00103,0034: before check input parameters
123060.467157,00103,0034: before calling execute
123060.467828,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
123060.469096,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
123060.538454,00103,0f0a: Initialize: enter
123060.538469,00103,0f0a: Initialize: exit (14 us)
123060.538546,00103,0034: AAXDishCommon::CSharedData created
123060.538654,00103,0034: yaml parsing succeeded
123060.538909,00103,0034: yaml parsing succeeded
123060.539702,00103,0034: yaml parsing succeeded
123060.539787,00103,0034: yaml parsing succeeded
123060.539870,00103,0034: yaml parsing succeeded
123060.539946,00103,0034: yaml parsing succeeded
123060.540067,00103,0034: yaml parsing succeeded
123060.540517,00103,0034: yaml parsing succeeded
123060.540653,00103,0034: yaml parsing succeeded
123060.541395,00103,0034: yaml parsing succeeded
123060.542870,00103,0034: yaml parsing succeeded
123060.543323,00103,0034: yaml parsing succeeded
123060.544816,00103,0034: yaml parsing succeeded
123060.545166,00103,0034: yaml parsing succeeded
123060.545535,00103,0034: yaml parsing succeeded
123060.546174,00103,0034: yaml parsing succeeded
123060.546633,00103,0034: yaml parsing succeeded
123060.546982,00103,0034: yaml parsing succeeded
123060.547406,00103,0034: dish loaded
123060.547415,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:DAE.dish:"
123060.547418,00103,0034: dish ignored
123060.547424,00103,0034: execute succeeded
123060.547426,00103,0034: before writing message
123060.547520,00103,0034: writing message completed
123060.547523,00103,0034: waiting for command
123060.548329,00103,0034: cmd: "init"
123060.548334,00103,0034: got: "--- debug_max"
123060.548336,00103,0034: got: "..."
123060.548342,00103,0034: yaml parsing succeeded
123060.548371,00103,0034: parsed params:
--- debug_max
123060.548374,00103,0034: got command
123060.548375,00103,0034: before check input parameters
123060.548376,00103,0034: cmd: init
123060.548398,00103,0034: 
failed sequence '""', user input 'debug_max', failure reason - got non empty input when expected empty element
123060.548428,00103,0034: before calling execute
123060.548447,00103,0034: DSH_TParameter::SetFromAny - set parameter "debuglevel" to "15"
123060.548455,00103,0f0a: AAXHShell_SetDebugLevel: returning true
123060.548462,00103,0f0a: AAXHShell_GetDebugLevel: returning true
123060.548478,00103,0034: execute succeeded
123060.548482,00103,0034: before writing message
123060.548613,00103,0034: writing message completed
123060.548616,00103,0034: waiting for command
123060.549474,00103,0034: cmd: "loadpi"
