

*** Refreshing session trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x177d7, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
123139.237738,00103,0034: execute succeeded
123139.237766,00103,0034: before writing message
123139.237967,00103,0034: writing message completed
123139.237973,00103,0034: waiting for command
123139.239314,00103,0034: cmd: "list_loaded_dishes"
123139.239325,00103,0034: got: "--- "
123139.239328,00103,0034: got: "..."
123139.239350,00103,0034: yaml parsing succeeded
123139.239358,00103,0034: parsed params:
--- ~
123139.239369,00103,0034: got command
123139.239374,00103,0034: before check input parameters
123139.239377,00103,0034: before calling execute
123139.239391,00103,0034: execute succeeded
123139.239398,00103,0034: before writing message
123139.239532,00103,0034: writing message completed
123139.239547,00103,0034: waiting for command
123139.240796,00103,0034: cmd: "load_dish"
123139.240812,00103,0034: got: "---"
123139.240818,00103,0034: got: "- aaxh"
123139.240823,00103,0034: got: "..."
123139.240837,00103,0034: yaml parsing succeeded
123139.240914,00103,0034: parsed params:
---
- aaxh
123139.240926,00103,0034: got command
123139.240930,00103,0034: before check input parameters
123139.240933,00103,0034: before calling execute
123139.241540,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
123139.242708,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
123139.309553,00103,0f0a: Initialize: enter
123139.309567,00103,0f0a: Initialize: exit (13 us)
123139.309617,00103,0034: AAXDishCommon::CSharedData created
123139.309712,00103,0034: yaml parsing succeeded
123139.309940,00103,0034: yaml parsing succeeded
123139.310703,00103,0034: yaml parsing succeeded
123139.310787,00103,0034: yaml parsing succeeded
123139.310868,00103,0034: yaml parsing succeeded
123139.310946,00103,0034: yaml parsing succeeded
123139.311067,00103,0034: yaml parsing succeeded
123139.311530,00103,0034: yaml parsing succeeded
123139.311661,00103,0034: yaml parsing succeeded
123139.312392,00103,0034: yaml parsing succeeded
123139.313848,00103,0034: yaml parsing succeeded
123139.314306,00103,0034: yaml parsing succeeded
123139.315787,00103,0034: yaml parsing succeeded
123139.316135,00103,0034: yaml parsing succeeded
123139.316497,00103,0034: yaml parsing succeeded
123139.317124,00103,0034: yaml parsing succeeded
123139.317546,00103,0034: yaml parsing succeeded
123139.317880,00103,0034: yaml parsing succeeded
123139.318296,00103,0034: dish loaded
123139.318303,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:DAE.dish:"
123139.318306,00103,0034: dish ignored
123139.318312,00103,0034: execute succeeded
123139.318313,00103,0034: before writing message
123139.318405,00103,0034: writing message completed
123139.318407,00103,0034: waiting for command
123139.319132,00103,0034: cmd: "teardown"
123139.319136,00103,0034: got: "--- "
123139.319138,00103,0034: got: "..."
123139.319143,00103,0034: yaml parsing succeeded
123139.319146,00103,0034: parsed params:
--- ~
123139.319149,00103,0034: got command
123139.319150,00103,0034: before check input parameters
123139.319151,00103,0034: before calling execute
123139.319196,00103,0f0a: Teardown: enter
123139.319203,00103,0f0a: Teardown: exit (7 us)
123139.319275,00103,0034: execute succeeded
123139.319281,00103,0034: before writing message
123139.319365,00103,0034: writing message completed
123139.319367,00103,0034: waiting for command
123139.319962,00103,0034: cmd: "init"
123139.319967,00103,0034: got: "--- debug_max"
123139.319968,00103,0034: got: "..."
123139.319972,00103,0034: yaml parsing succeeded
123139.319998,00103,0034: parsed params:
--- debug_max
123139.320001,00103,0034: got command
123139.320002,00103,0034: before check input parameters
123139.320003,00103,0034: cmd: init
123139.320026,00103,0034: 
failed sequence '""', user input 'debug_max', failure reason - got non empty input when expected empty element
123139.320052,00103,0034: before calling execute
123139.320065,00103,0034: DSH_TParameter::SetFromAny - set parameter "debuglevel" to "15"
123139.320163,00103,0f0a: Initialize: enter
123139.320167,00103,0f0a: Initialize: exit (3 us)
123139.320212,00103,0f0a: AAXHShell_SetDebugLevel: returning true
