

*** Digidesign Session Trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x178e5, version=22.9.0)
*** Build Details:			Build: Desktop (2022-r3-aax-toolkit); Branch: ProTools_2022.R3.X; InternalVersion: 2022.R3.0; Target: Debug(1); Build: n/a 
*** Starting Timestamp:		Wednesday, 11 January 2023, 9:44:35 p.m. Central Standard Time (123218175488 uS)
*** System Details:			OS Version: 12.6,1, CPU Speed:  2.4 gHz, Architecture: Intel 64 bit, Num Processors: 8 logical 8 physical, Memory: 16384 MB
*** Build Date:				Sep 27 2022
*** Expected Release Date:		2022-09-28
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
123218.227927,00103,0034: register handler for signal: 2
123218.227930,00103,0034: register handler for signal: 15
123218.227933,00103,0034: register handler for signal: 11
123218.227934,00103,0034: register handler for signal: 6
123218.227936,00103,0034: register handler for signal: 4
123218.227938,00103,0034: register handler for signal: 8
123218.227940,00103,0034: register handler for signal: 3
123218.227942,00103,0034: register handler for signal: 1
123218.227944,00103,0034: register handler for signal: 13
123218.227945,00103,0034: register handler for signal: 10
123218.227947,00103,0034: register handler for signal: 12
123218.228456,00103,0034: yaml parsing succeeded
123218.228615,00103,0034: yaml parsing succeeded
123218.228678,00103,0034: yaml parsing succeeded
123218.228737,00103,0034: yaml parsing succeeded
123218.229060,00103,0034: yaml parsing succeeded
123218.229565,00103,0034: yaml parsing succeeded
123218.230063,00103,0034: yaml parsing succeeded
123218.230124,00103,0034: yaml parsing succeeded
123218.230352,00103,0034: yaml parsing succeeded
123218.230428,00103,0034: waiting for command
123218.230440,00103,0034: cmd: "clear_trace_config"
123218.230442,00103,0034: got: "--- "
123218.230444,00103,0034: got: "..."
123218.230447,00103,0034: yaml parsing succeeded
123218.230450,00103,0034: parsed params:
--- ~
123218.230452,00103,0034: got command
123218.230454,00103,0034: before check input parameters
123218.230456,00103,0034: before calling execute


 *** DigiTrace Log Complete ***
