

*** Digidesign Session Trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x1791f, version=22.9.0)
*** Build Details:			Build: Desktop (2022-r3-aax-toolkit); Branch: ProTools_2022.R3.X; InternalVersion: 2022.R3.0; Target: Debug(1); Build: n/a 
*** Starting Timestamp:		Wednesday, 11 January 2023, 9:44:49 p.m. Central Standard Time (123232401161 uS)
*** System Details:			OS Version: 12.6,1, CPU Speed:  2.4 gHz, Architecture: Intel 64 bit, Num Processors: 8 logical 8 physical, Memory: 16384 MB
*** Build Date:				Sep 27 2022
*** Expected Release Date:		2022-09-28
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
123232.449152,00103,0034: register handler for signal: 2
123232.449155,00103,0034: register handler for signal: 15
123232.449157,00103,0034: register handler for signal: 11
123232.449159,00103,0034: register handler for signal: 6
123232.449160,00103,0034: register handler for signal: 4
123232.449162,00103,0034: register handler for signal: 8
123232.449164,00103,0034: register handler for signal: 3
123232.449166,00103,0034: register handler for signal: 1
123232.449167,00103,0034: register handler for signal: 13
123232.449169,00103,0034: register handler for signal: 10
123232.449171,00103,0034: register handler for signal: 12
123232.449688,00103,0034: yaml parsing succeeded
123232.449848,00103,0034: yaml parsing succeeded
123232.449912,00103,0034: yaml parsing succeeded
123232.449975,00103,0034: yaml parsing succeeded
123232.450298,00103,0034: yaml parsing succeeded
123232.450841,00103,0034: yaml parsing succeeded
123232.451378,00103,0034: yaml parsing succeeded
123232.451436,00103,0034: yaml parsing succeeded
123232.451679,00103,0034: yaml parsing succeeded
123232.451757,00103,0034: waiting for command
123232.451771,00103,0034: cmd: "clear_trace_config"
123232.451773,00103,0034: got: "--- "
123232.451775,00103,0034: got: "..."
123232.451778,00103,0034: yaml parsing succeeded
123232.451781,00103,0034: parsed params:
--- ~
123232.451783,00103,0034: got command
123232.451785,00103,0034: before check input parameters
123232.451787,00103,0034: before calling execute


 *** DigiTrace Log Complete ***
