

*** Digidesign Session Trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x179cd, version=22.9.0)
*** Build Details:			Build: Desktop (2022-r3-aax-toolkit); Branch: ProTools_2022.R3.X; InternalVersion: 2022.R3.0; Target: Debug(1); Build: n/a 
*** Starting Timestamp:		Wednesday, 11 January 2023, 9:46:13 p.m. Central Standard Time (123316394088 uS)
*** System Details:			OS Version: 12.6,1, CPU Speed:  2.4 gHz, Architecture: Intel 64 bit, Num Processors: 8 logical 8 physical, Memory: 16384 MB
*** Build Date:				Sep 27 2022
*** Expected Release Date:		2022-09-28
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
123316.444449,00103,0034: register handler for signal: 2
123316.444453,00103,0034: register handler for signal: 15
123316.444455,00103,0034: register handler for signal: 11
123316.444457,00103,0034: register handler for signal: 6
123316.444459,00103,0034: register handler for signal: 4
123316.444460,00103,0034: register handler for signal: 8
123316.444462,00103,0034: register handler for signal: 3
123316.444464,00103,0034: register handler for signal: 1
123316.444466,00103,0034: register handler for signal: 13
123316.444468,00103,0034: register handler for signal: 10
123316.444470,00103,0034: register handler for signal: 12
123316.444999,00103,0034: yaml parsing succeeded
123316.445172,00103,0034: yaml parsing succeeded
123316.445237,00103,0034: yaml parsing succeeded
123316.445300,00103,0034: yaml parsing succeeded
123316.445635,00103,0034: yaml parsing succeeded
123316.446153,00103,0034: yaml parsing succeeded
123316.446653,00103,0034: yaml parsing succeeded
123316.446711,00103,0034: yaml parsing succeeded
123316.446945,00103,0034: yaml parsing succeeded
123316.447021,00103,0034: waiting for command
123316.447034,00103,0034: cmd: "clear_trace_config"
123316.447036,00103,0034: got: "--- "
123316.447038,00103,0034: got: "..."
123316.447041,00103,0034: yaml parsing succeeded
123316.447044,00103,0034: parsed params:
--- ~
123316.447046,00103,0034: got command
123316.447048,00103,0034: before check input parameters
123316.447050,00103,0034: before calling execute


 *** DigiTrace Log Complete ***
