

*** Digidesign Session Trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x179ce, version=22.9.0)
*** Build Details:			Build: Desktop (2022-r3-aax-toolkit); Branch: ProTools_2022.R3.X; InternalVersion: 2022.R3.0; Target: Debug(1); Build: n/a 
*** Starting Timestamp:		Wednesday, 11 January 2023, 9:46:14 p.m. Central Standard Time (123317261954 uS)
*** System Details:			OS Version: 12.6,1, CPU Speed:  2.4 gHz, Architecture: Intel 64 bit, Num Processors: 8 logical 8 physical, Memory: 16384 MB
*** Build Date:				Sep 27 2022
*** Expected Release Date:		2022-09-28
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
123317.312600,00103,0034: register handler for signal: 2
123317.312603,00103,0034: register handler for signal: 15
123317.312605,00103,0034: register handler for signal: 11
123317.312607,00103,0034: register handler for signal: 6
123317.312609,00103,0034: register handler for signal: 4
123317.312611,00103,0034: register handler for signal: 8
123317.312613,00103,0034: register handler for signal: 3
123317.312614,00103,0034: register handler for signal: 1
123317.312616,00103,0034: register handler for signal: 13
123317.312618,00103,0034: register handler for signal: 10
123317.312620,00103,0034: register handler for signal: 12
123317.313157,00103,0034: yaml parsing succeeded
123317.313326,00103,0034: yaml parsing succeeded
123317.313394,00103,0034: yaml parsing succeeded
123317.313460,00103,0034: yaml parsing succeeded
123317.313814,00103,0034: yaml parsing succeeded
123317.314396,00103,0034: yaml parsing succeeded
123317.314952,00103,0034: yaml parsing succeeded
123317.315013,00103,0034: yaml parsing succeeded
123317.315257,00103,0034: yaml parsing succeeded
123317.315335,00103,0034: waiting for command
123317.315347,00103,0034: cmd: "clear_trace_config"
123317.315349,00103,0034: got: "--- "
123317.315350,00103,0034: got: "..."
123317.315355,00103,0034: yaml parsing succeeded
123317.315357,00103,0034: parsed params:
--- ~
123317.315360,00103,0034: got command
123317.315361,00103,0034: before check input parameters
123317.315364,00103,0034: before calling execute


 *** DigiTrace Log Complete ***
