

*** Refreshing session trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x17f77, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
124949.965893,00103,0034: execute succeeded
124949.965916,00103,0034: before writing message
124949.966183,00103,0034: writing message completed
124949.966194,00103,0034: waiting for command
124949.967421,00103,0034: cmd: "list_loaded_dishes"
124949.967434,00103,0034: got: "--- "
124949.967439,00103,0034: got: "..."
124949.967455,00103,0034: yaml parsing succeeded
124949.967464,00103,0034: parsed params:
--- ~
124949.967473,00103,0034: got command
124949.967478,00103,0034: before check input parameters
124949.967481,00103,0034: before calling execute
124949.967492,00103,0034: execute succeeded
124949.967497,00103,0034: before writing message
124949.967685,00103,0034: writing message completed
124949.967690,00103,0034: waiting for command
124949.968646,00103,0034: cmd: "load_dish"
124949.968657,00103,0034: got: "---"
124949.968661,00103,0034: got: "- aaxh"
124949.968665,00103,0034: got: "..."
124949.968679,00103,0034: yaml parsing succeeded
124949.968745,00103,0034: parsed params:
---
- aaxh
124949.968756,00103,0034: got command
124949.968760,00103,0034: before check input parameters
124949.968763,00103,0034: before calling execute
124949.969320,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
124949.970565,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
124950.036653,00103,0f0a: Initialize: enter
124950.036662,00103,0f0a: Initialize: exit (9 us)
124950.036711,00103,0034: AAXDishCommon::CSharedData created
124950.036810,00103,0034: yaml parsing succeeded
124950.037050,00103,0034: yaml parsing succeeded
124950.037812,00103,0034: yaml parsing succeeded
124950.037902,00103,0034: yaml parsing succeeded
124950.037983,00103,0034: yaml parsing succeeded
124950.038058,00103,0034: yaml parsing succeeded
124950.038179,00103,0034: yaml parsing succeeded
124950.038635,00103,0034: yaml parsing succeeded
124950.038768,00103,0034: yaml parsing succeeded
124950.039524,00103,0034: yaml parsing succeeded
124950.040985,00103,0034: yaml parsing succeeded
124950.041437,00103,0034: yaml parsing succeeded
124950.042912,00103,0034: yaml parsing succeeded
124950.043239,00103,0034: yaml parsing succeeded
124950.043587,00103,0034: yaml parsing succeeded
124950.044196,00103,0034: yaml parsing succeeded
124950.044633,00103,0034: yaml parsing succeeded
124950.044966,00103,0034: yaml parsing succeeded
124950.045380,00103,0034: dish loaded
124950.045387,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:DAE.dish:"
124950.045389,00103,0034: dish ignored
124950.045395,00103,0034: execute succeeded
124950.045397,00103,0034: before writing message
124950.045483,00103,0034: writing message completed
124950.045485,00103,0034: waiting for command
124950.046140,00103,0034: cmd: "teardown"
124950.046144,00103,0034: got: "--- "
124950.046146,00103,0034: got: "..."
124950.046150,00103,0034: yaml parsing succeeded
124950.046153,00103,0034: parsed params:
--- ~
124950.046156,00103,0034: got command
124950.046158,00103,0034: before check input parameters
124950.046159,00103,0034: before calling execute
124950.046202,00103,0f0a: Teardown: enter
124950.046211,00103,0f0a: Teardown: exit (8 us)
124950.046294,00103,0034: execute succeeded
124950.046301,00103,0034: before writing message
124950.046383,00103,0034: writing message completed
124950.046385,00103,0034: waiting for command
124950.046948,00103,0034: cmd: "init"
124950.046952,00103,0034: got: "--- debug_max"
124950.046954,00103,0034: got: "..."
124950.046958,00103,0034: yaml parsing succeeded
124950.046987,00103,0034: parsed params:
--- debug_max
124950.046990,00103,0034: got command
124950.046992,00103,0034: before check input parameters
124950.046993,00103,0034: cmd: init
124950.047015,00103,0034: 
failed sequence '""', user input 'debug_max', failure reason - got non empty input when expected empty element
124950.047042,00103,0034: before calling execute
124950.047056,00103,0034: DSH_TParameter::SetFromAny - set parameter "debuglevel" to "15"
124950.047141,00103,0f0a: Initialize: enter
124950.047144,00103,0f0a: Initialize: exit (3 us)
124950.047185,00103,0f0a: AAXHShell_SetDebugLevel: returning true
124950.047191,00103,0f0a: AAXHShell_GetDebugLevel: returning true
124950.047198,00103,0034: execute succeeded
124950.047200,00103,0034: before writing message
124950.047334,00103,0034: writing message completed
124950.047337,00103,0034: waiting for command
124950.048052,00103,0034: cmd: "loadpi"
124950.048062,00103,0034: got: "--- "/Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin""
124950.048064,00103,0034: got: "..."
124950.048069,00103,0034: yaml parsing succeeded
124950.048107,00103,0034: parsed params:
--- /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
124950.048110,00103,0034: got command
124950.048111,00103,0034: before check input parameters
124950.048112,00103,0034: cmd: loadpi
124950.048134,00103,0034: before calling execute
124950.048142,00103,0034: DSH_TParameter::SetFromAny - set parameter "path" to "/Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin"
124950.048163,00103,0f0a: AAXHShell_CCommandManager::CreateList - created command list id: 0
124950.048166,00103,0f0a: AAXHShell_CreateCommandList: returning true
124950.048173,00103,0f0a: AAXHShell_AddCommandListData: returning true
124950.048174,00103,0f0a: AAXHShell_AddCommandListData: returning true
124950.048178,00103,0f0a: AAXHShell_CCommandManager::Push - pushed command to command list id: 0
124950.048180,00103,0f0a: AAXHShell_PushCommandLoadPlugIn: returning true
124950.048181,00103,0f0a: AAXHShell_CCommandManager::DoActionOnList - executing action: 0, command list id: 0
124950.048184,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Execute: enter
124950.048186,00103,0f0a: LoadPlugIn: enter
124950.048187,00103,0f0a:   path: /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
124950.057052,00103,0f0a: AAXHShell_CPlugInManager::LoadPlugIn succeeded - id: 0, collection: 0x6000035b8620, plug-in: /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
124950.057059,00103,0f0a: LoadPlugIn: exit (8873 us)
124950.057061,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Execute: exit (8876 us)
124950.057064,00103,0f0a: AAXHShell_ExecuteCommandList: returning true
124950.057071,00103,0f0a: AAXHShell_GetCommandListData: returning true
124950.057087,00103,0f0a: AAXHShell_GetCommandListData: returning true
124950.057096,00103,0f0a: AAXHShell_GetCommandListData: returning true
124950.057105,00103,0f0a: AAXHShell_GetPlugInPath: returning true
124950.057114,00103,0034: execute succeeded
124950.057117,00103,0034: before writing message
124950.057258,00103,0034: writing message completed
124950.057261,00103,0034: waiting for command
124950.057720,00103,0034: cmd: "unloadpi"
124950.057724,00103,0034: got: "--- 0"
124950.057725,00103,0034: got: "..."
124950.057734,00103,0034: yaml parsing succeeded
124950.057756,00103,0034: parsed params:
--- 0
124950.057759,00103,0034: got command
124950.057760,00103,0034: before check input parameters
124950.057761,00103,0034: cmd: unloadpi
124950.057784,00103,0034: before calling execute
124950.057795,00103,0034: DSH_TParameter::SetFromAny - set parameter "plugin" to "0"
124950.057803,00103,0f0a: AAXHShell_CCommandManager::DoActionOnList - executing action: 1, command list id: 0
124950.057805,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Undo: enter
124950.057806,00103,0f0a: UnloadPlugIn: enter
124950.057807,00103,0f0a:   pi: 0
124950.057836,00103,0f0a: UnloadPlugIn: exit (30 us)
124950.057838,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Undo: exit (33 us)
124950.057840,00103,0f0a: AAXHShell_UndoCommandList: returning true
124950.057844,00103,0f0a: AAXHShell_DeleteCommandList: returning true
124950.057845,00103,0f0a: AAXHShell_UndoAndDeleteCommandList: returning true
124950.057848,00103,0034: execute succeeded
124950.057850,00103,0034: before writing message
124950.057898,00103,0034: writing message completed
124950.057900,00103,0034: waiting for command
124950.058224,00103,0034: cmd: "loadpi"
124950.058231,00103,0034: got: "--- "/Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin""
124950.058233,00103,0034: got: "..."
124950.058237,00103,0034: yaml parsing succeeded
124950.058271,00103,0034: parsed params:
--- /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
124950.058276,00103,0034: got command
124950.058277,00103,0034: before check input parameters
124950.058279,00103,0034: cmd: loadpi
