

*** Digidesign Session Trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x17fef, version=22.9.0)
*** Build Details:			Build: Desktop (2022-r3-aax-toolkit); Branch: ProTools_2022.R3.X; InternalVersion: 2022.R3.0; Target: Debug(1); Build: n/a 
*** Starting Timestamp:		Wednesday, 11 January 2023, 10:24:50 p.m. Central Standard Time (125053873332 uS)
*** System Details:			OS Version: 12.6,1, CPU Speed:  2.4 gHz, Architecture: Intel 64 bit, Num Processors: 8 logical 8 physical, Memory: 16384 MB
*** Build Date:				Sep 27 2022
*** Expected Release Date:		2022-09-28
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
125053.922644,00103,0034: register handler for signal: 2
125053.922649,00103,0034: register handler for signal: 15
125053.922651,00103,0034: register handler for signal: 11
125053.922652,00103,0034: register handler for signal: 6
125053.922654,00103,0034: register handler for signal: 4
125053.922656,00103,0034: register handler for signal: 8
125053.922657,00103,0034: register handler for signal: 3
125053.922659,00103,0034: register handler for signal: 1
125053.922661,00103,0034: register handler for signal: 13
125053.922663,00103,0034: register handler for signal: 10
125053.922664,00103,0034: register handler for signal: 12
125053.923184,00103,0034: yaml parsing succeeded
125053.923344,00103,0034: yaml parsing succeeded
125053.923407,00103,0034: yaml parsing succeeded
125053.923465,00103,0034: yaml parsing succeeded
125053.923789,00103,0034: yaml parsing succeeded
125053.924330,00103,0034: yaml parsing succeeded
125053.924869,00103,0034: yaml parsing succeeded
125053.924929,00103,0034: yaml parsing succeeded
125053.925173,00103,0034: yaml parsing succeeded
125053.925253,00103,0034: waiting for command
125053.925266,00103,0034: cmd: "clear_trace_config"
125053.925268,00103,0034: got: "--- "
125053.925270,00103,0034: got: "..."
125053.925274,00103,0034: yaml parsing succeeded
125053.925276,00103,0034: parsed params:
--- ~
125053.925279,00103,0034: got command
125053.925280,00103,0034: before check input parameters
125053.925283,00103,0034: before calling execute


 *** DigiTrace Log Complete ***
