

*** Refreshing session trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x18045, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
125079.876595,00103,0034: execute succeeded
125079.876614,00103,0034: before writing message
125079.876879,00103,0034: writing message completed
125079.876891,00103,0034: waiting for command
125079.877950,00103,0034: cmd: "list_loaded_dishes"
125079.877962,00103,0034: got: "--- "
125079.877968,00103,0034: got: "..."
125079.877986,00103,0034: yaml parsing succeeded
125079.877994,00103,0034: parsed params:
--- ~
125079.878003,00103,0034: got command
125079.878008,00103,0034: before check input parameters
125079.878011,00103,0034: before calling execute
125079.878021,00103,0034: execute succeeded
125079.878026,00103,0034: before writing message
125079.878195,00103,0034: writing message completed
125079.878200,00103,0034: waiting for command
125079.879188,00103,0034: cmd: "load_dish"
125079.879198,00103,0034: got: "---"
125079.879202,00103,0034: got: "- aaxh"
125079.879206,00103,0034: got: "..."
125079.879216,00103,0034: yaml parsing succeeded
125079.879278,00103,0034: parsed params:
---
- aaxh
125079.879288,00103,0034: got command
125079.879291,00103,0034: before check input parameters
125079.879294,00103,0034: before calling execute
125079.879898,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
125079.881158,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
125079.947720,00103,0f0a: Initialize: enter
125079.947735,00103,0f0a: Initialize: exit (14 us)
125079.947781,00103,0034: AAXDishCommon::CSharedData created
125079.947877,00103,0034: yaml parsing succeeded
125079.948112,00103,0034: yaml parsing succeeded
125079.948888,00103,0034: yaml parsing succeeded
125079.948976,00103,0034: yaml parsing succeeded
125079.949058,00103,0034: yaml parsing succeeded
125079.949134,00103,0034: yaml parsing succeeded
125079.949255,00103,0034: yaml parsing succeeded
125079.949705,00103,0034: yaml parsing succeeded
125079.949838,00103,0034: yaml parsing succeeded
125079.950571,00103,0034: yaml parsing succeeded
125079.952063,00103,0034: yaml parsing succeeded
125079.952524,00103,0034: yaml parsing succeeded
125079.953994,00103,0034: yaml parsing succeeded
125079.954323,00103,0034: yaml parsing succeeded
125079.954663,00103,0034: yaml parsing succeeded
125079.955253,00103,0034: yaml parsing succeeded
125079.955679,00103,0034: yaml parsing succeeded
125079.956021,00103,0034: yaml parsing succeeded
125079.956448,00103,0034: dish loaded
125079.956455,00103,0034: processing dish "Macintosh HD:Users:username:Downloads:aax-developer-tools-mac-x86_64-beta-2022-09-01:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:DAE.dish:"
125079.956457,00103,0034: dish ignored
125079.956463,00103,0034: execute succeeded
125079.956464,00103,0034: before writing message
125079.956556,00103,0034: writing message completed
125079.956558,00103,0034: waiting for command
125079.957223,00103,0034: cmd: "teardown"
125079.957232,00103,0034: got: "--- "
125079.957233,00103,0034: got: "..."
125079.957239,00103,0034: yaml parsing succeeded
125079.957242,00103,0034: parsed params:
--- ~
125079.957244,00103,0034: got command
125079.957246,00103,0034: before check input parameters
125079.957247,00103,0034: before calling execute
125079.957286,00103,0f0a: Teardown: enter
125079.957294,00103,0f0a: Teardown: exit (8 us)
125079.957373,00103,0034: execute succeeded
125079.957378,00103,0034: before writing message
125079.957468,00103,0034: writing message completed
125079.957471,00103,0034: waiting for command
125079.958054,00103,0034: cmd: "init"
125079.958059,00103,0034: got: "--- debug_max"
125079.958060,00103,0034: got: "..."
125079.958065,00103,0034: yaml parsing succeeded
125079.958094,00103,0034: parsed params:
--- debug_max
125079.958097,00103,0034: got command
125079.958099,00103,0034: before check input parameters
125079.958100,00103,0034: cmd: init
125079.958122,00103,0034: 
failed sequence '""', user input 'debug_max', failure reason - got non empty input when expected empty element
125079.958150,00103,0034: before calling execute
125079.958164,00103,0034: DSH_TParameter::SetFromAny - set parameter "debuglevel" to "15"
125079.958251,00103,0f0a: Initialize: enter
125079.958254,00103,0f0a: Initialize: exit (2 us)
125079.958290,00103,0f0a: AAXHShell_SetDebugLevel: returning true
125079.958294,00103,0f0a: AAXHShell_GetDebugLevel: returning true
125079.958301,00103,0034: execute succeeded
125079.958303,00103,0034: before writing message
125079.958416,00103,0034: writing message completed
125079.958418,00103,0034: waiting for command
125079.959144,00103,0034: cmd: "loadpi"
125079.959152,00103,0034: got: "--- "/Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin""
125079.959154,00103,0034: got: "..."
125079.959158,00103,0034: yaml parsing succeeded
125079.959196,00103,0034: parsed params:
--- /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
125079.959199,00103,0034: got command
125079.959200,00103,0034: before check input parameters
125079.959201,00103,0034: cmd: loadpi
125079.959223,00103,0034: before calling execute
125079.959231,00103,0034: DSH_TParameter::SetFromAny - set parameter "path" to "/Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin"
125079.959253,00103,0f0a: AAXHShell_CCommandManager::CreateList - created command list id: 0
125079.959254,00103,0f0a: AAXHShell_CreateCommandList: returning true
125079.959262,00103,0f0a: AAXHShell_AddCommandListData: returning true
125079.959263,00103,0f0a: AAXHShell_AddCommandListData: returning true
125079.959268,00103,0f0a: AAXHShell_CCommandManager::Push - pushed command to command list id: 0
125079.959269,00103,0f0a: AAXHShell_PushCommandLoadPlugIn: returning true
125079.959271,00103,0f0a: AAXHShell_CCommandManager::DoActionOnList - executing action: 0, command list id: 0
125079.959274,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Execute: enter
125079.959275,00103,0f0a: LoadPlugIn: enter
125079.959277,00103,0f0a:   path: /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
125079.969391,00103,0f0a: AAXHShell_CPlugInManager::LoadPlugIn succeeded - id: 0, collection: 0x6000007b07e0, plug-in: /Library/Application Support/Avid/Audio/Plug-Ins/ci-cmake-juce.aaxplugin
125079.969398,00103,0f0a: LoadPlugIn: exit (10122 us)
125079.969399,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Execute: exit (10125 us)
125079.969403,00103,0f0a: AAXHShell_ExecuteCommandList: returning true
125079.969411,00103,0f0a: AAXHShell_GetCommandListData: returning true
125079.969427,00103,0f0a: AAXHShell_GetCommandListData: returning true
125079.969437,00103,0f0a: AAXHShell_GetCommandListData: returning true
125079.969447,00103,0f0a: AAXHShell_GetPlugInPath: returning true
125079.969456,00103,0034: execute succeeded
125079.969459,00103,0034: before writing message
125079.969594,00103,0034: writing message completed
125079.969597,00103,0034: waiting for command
125079.970088,00103,0034: cmd: "unloadpi"
125079.970092,00103,0034: got: "--- 0"
125079.970093,00103,0034: got: "..."
125079.970099,00103,0034: yaml parsing succeeded
125079.970125,00103,0034: parsed params:
--- 0
125079.970128,00103,0034: got command
125079.970130,00103,0034: before check input parameters
125079.970131,00103,0034: cmd: unloadpi
125079.970156,00103,0034: before calling execute
125079.970168,00103,0034: DSH_TParameter::SetFromAny - set parameter "plugin" to "0"
125079.970176,00103,0f0a: AAXHShell_CCommandManager::DoActionOnList - executing action: 1, command list id: 0
125079.970179,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Undo: enter
125079.970180,00103,0f0a: UnloadPlugIn: enter
125079.970182,00103,0f0a:   pi: 0
125079.970212,00103,0f0a: UnloadPlugIn: exit (31 us)
125079.970213,00103,0f0a: AAXHShell_CCommandLoadPlugIn::Undo: exit (33 us)
125079.970216,00103,0f0a: AAXHShell_UndoCommandList: returning true
125079.970219,00103,0f0a: AAXHShell_DeleteCommandList: returning true
125079.970220,00103,0f0a: AAXHShell_UndoAndDeleteCommandList: returning true
125079.970223,00103,0034: execute succeeded
125079.970225,00103,0034: before writing message
125079.970282,00103,0034: writing message completed
125079.970284,00103,0034: waiting for command
125079.970655,00103,0034: cmd: "loadpi"
