

*** Digidesign Session Trace for:	/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0x181f5, version=22.9.0)
*** Build Details:			Build: Desktop (2022-r3-aax-toolkit); Branch: ProTools_2022.R3.X; InternalVersion: 2022.R3.0; Target: Debug(1); Build: n/a 
*** Starting Timestamp:		Wednesday, 11 January 2023, 10:27:29 p.m. Central Standard Time (125212967813 uS)
*** System Details:			OS Version: 12.6,1, CPU Speed:  2.4 gHz, Architecture: Intel 64 bit, Num Processors: 8 logical 8 physical, Memory: 16384 MB
*** Build Date:				Sep 27 2022
*** Expected Release Date:		2022-09-28
*** DigiTrace Config File:		/Users/username/Downloads/aax-developer-tools-mac-x86_64-beta-2022-09-01/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
125213.014227,00103,0034: register handler for signal: 2
125213.014231,00103,0034: register handler for signal: 15
125213.014233,00103,0034: register handler for signal: 11
125213.014235,00103,0034: register handler for signal: 6
125213.014236,00103,0034: register handler for signal: 4
125213.014238,00103,0034: register handler for signal: 8
125213.014240,00103,0034: register handler for signal: 3
125213.014242,00103,0034: register handler for signal: 1
125213.014244,00103,0034: register handler for signal: 13
125213.014246,00103,0034: register handler for signal: 10
125213.014248,00103,0034: register handler for signal: 12
125213.014767,00103,0034: yaml parsing succeeded
125213.014937,00103,0034: yaml parsing succeeded
125213.015005,00103,0034: yaml parsing succeeded
125213.015070,00103,0034: yaml parsing succeeded
125213.015419,00103,0034: yaml parsing succeeded
125213.015935,00103,0034: yaml parsing succeeded
125213.016444,00103,0034: yaml parsing succeeded
125213.016506,00103,0034: yaml parsing succeeded
125213.016745,00103,0034: yaml parsing succeeded
125213.016822,00103,0034: waiting for command
125213.016835,00103,0034: cmd: "clear_trace_config"
125213.016837,00103,0034: got: "--- "
125213.016839,00103,0034: got: "..."
125213.016842,00103,0034: yaml parsing succeeded
125213.016845,00103,0034: parsed params:
--- ~
125213.016847,00103,0034: got command
125213.016849,00103,0034: before check input parameters
125213.016851,00103,0034: before calling execute


 *** DigiTrace Log Complete ***
