

*** Digidesign Session Trace for:	/Users/jsvaldezv/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0xa00, version=22.9.0)
*** Build Details:			Build: Desktop (2022-r3-aax-toolkit); Branch: ProTools_2022.R3.X; InternalVersion: 2022.R3.0; Target: Debug(1); Build: n/a 
*** Starting Timestamp:		Tuesday, January 17, 2023 at 2:47:29 AM Central Standard Time (316967664306 uS)
*** System Details:			OS Version: 12.6,1, CPU Speed:  2.4 gHz, Architecture: Intel 64 bit, Num Processors: 8 logical 8 physical, Memory: 16384 MB
*** Build Date:				Sep 27 2022
*** Expected Release Date:		2022-09-28
*** DigiTrace Config File:		/Users/jsvaldezv/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
316967.711139,00103,0034: register handler for signal: 2
316967.711142,00103,0034: register handler for signal: 15
316967.711144,00103,0034: register handler for signal: 11
316967.711146,00103,0034: register handler for signal: 6
316967.711148,00103,0034: register handler for signal: 4
316967.711149,00103,0034: register handler for signal: 8
316967.711151,00103,0034: register handler for signal: 3
316967.711153,00103,0034: register handler for signal: 1
316967.711154,00103,0034: register handler for signal: 13
316967.711156,00103,0034: register handler for signal: 10
316967.711158,00103,0034: register handler for signal: 12
316967.711674,00103,0034: yaml parsing succeeded
316967.711833,00103,0034: yaml parsing succeeded
316967.711894,00103,0034: yaml parsing succeeded
316967.711950,00103,0034: yaml parsing succeeded
316967.712239,00103,0034: yaml parsing succeeded
316967.712711,00103,0034: yaml parsing succeeded
316967.713183,00103,0034: yaml parsing succeeded
316967.713239,00103,0034: yaml parsing succeeded
316967.713464,00103,0034: yaml parsing succeeded
316967.713538,00103,0034: waiting for command
316967.713554,00103,0034: cmd: "clear_trace_config"
316967.713556,00103,0034: got: "--- "
316967.713558,00103,0034: got: "..."
316967.713561,00103,0034: yaml parsing succeeded
316967.713564,00103,0034: parsed params:
--- ~
316967.713566,00103,0034: got command
316967.713568,00103,0034: before check input parameters
316967.713570,00103,0034: before calling execute


 *** DigiTrace Log Complete ***
