

*** Refreshing session trace for:	/Users/jsvaldezv/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0xa00, version=22.9.0)
*** DigiTrace Config File:		/Users/jsvaldezv/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/jsvaldezv/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/jsvaldezv/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/jsvaldezv/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/jsvaldezv/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/jsvaldezv/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
316968.391377,00103,0034: execute succeeded
316968.391410,00103,0034: before writing message
316968.391854,00103,0034: writing message completed
316968.391865,00103,0034: waiting for command
316968.394153,00103,0034: cmd: "list_loaded_dishes"
316968.394173,00103,0034: got: "--- "
316968.394181,00103,0034: got: "..."
316968.394212,00103,0034: yaml parsing succeeded
316968.394230,00103,0034: parsed params:
--- ~
316968.394244,00103,0034: got command
316968.394252,00103,0034: before check input parameters
316968.394257,00103,0034: before calling execute
316968.394270,00103,0034: execute succeeded
316968.394278,00103,0034: before writing message
316968.394590,00103,0034: writing message completed
316968.394599,00103,0034: waiting for command
316968.396178,00103,0034: cmd: "load_dish"
316968.396189,00103,0034: got: "---"
316968.396194,00103,0034: got: "- aaxh"
316968.396199,00103,0034: got: "..."
316968.396214,00103,0034: yaml parsing succeeded
316968.396330,00103,0034: parsed params:
---
- aaxh
316968.396348,00103,0034: got command
316968.396353,00103,0034: before check input parameters
316968.396357,00103,0034: before calling execute
316968.397450,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
316968.399747,00103,0034: processing dish "Macintosh HD:Users:jsvaldezv:Documents:GitHub:Personal:ci-juce-test:SDK:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
316968.472444,00103,0f0a: Initialize: enter
316968.472454,00103,0f0a: Initialize: exit (10 us)
316968.472503,00103,0034: AAXDishCommon::CSharedData created
316968.472598,00103,0034: yaml parsing succeeded
316968.472824,00103,0034: yaml parsing succeeded
316968.473589,00103,0034: yaml parsing succeeded
316968.473673,00103,0034: yaml parsing succeeded
316968.473754,00103,0034: yaml parsing succeeded
316968.473828,00103,0034: yaml parsing succeeded
316968.473948,00103,0034: yaml parsing succeeded
316968.474390,00103,0034: yaml parsing succeeded
316968.474519,00103,0034: yaml parsing succeeded
