

*** Digidesign Session Trace for:	/Users/username/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0xabc, version=22.9.0)
*** Build Details:			Build: Desktop (2022-r3-aax-toolkit); Branch: ProTools_2022.R3.X; InternalVersion: 2022.R3.0; Target: Debug(1); Build: n/a 
*** Starting Timestamp:		Tuesday, 17 January 2023, 2:50:18 a.m. Central Standard Time (317136561415 uS)
*** System Details:			OS Version: 12.6,1, CPU Speed:  2.4 gHz, Architecture: Intel 64 bit, Num Processors: 8 logical 8 physical, Memory: 16384 MB
*** Build Date:				Sep 27 2022
*** Expected Release Date:		2022-09-28
*** DigiTrace Config File:		/Users/username/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
317136.610293,00103,0034: register handler for signal: 2
317136.610298,00103,0034: register handler for signal: 15
317136.610300,00103,0034: register handler for signal: 11
317136.610302,00103,0034: register handler for signal: 6
317136.610303,00103,0034: register handler for signal: 4
317136.610305,00103,0034: register handler for signal: 8
317136.610307,00103,0034: register handler for signal: 3
317136.610308,00103,0034: register handler for signal: 1
317136.610310,00103,0034: register handler for signal: 13
317136.610312,00103,0034: register handler for signal: 10
317136.610314,00103,0034: register handler for signal: 12
317136.610838,00103,0034: yaml parsing succeeded
317136.611005,00103,0034: yaml parsing succeeded
317136.611069,00103,0034: yaml parsing succeeded
317136.611129,00103,0034: yaml parsing succeeded
317136.611440,00103,0034: yaml parsing succeeded
317136.611938,00103,0034: yaml parsing succeeded
317136.612443,00103,0034: yaml parsing succeeded
317136.612501,00103,0034: yaml parsing succeeded
317136.612734,00103,0034: yaml parsing succeeded
317136.612810,00103,0034: waiting for command
317136.612824,00103,0034: cmd: "clear_trace_config"
317136.612826,00103,0034: got: "--- "
317136.612828,00103,0034: got: "..."
317136.612832,00103,0034: yaml parsing succeeded
317136.612834,00103,0034: parsed params:
--- ~
317136.612837,00103,0034: got command
317136.612838,00103,0034: before check input parameters
317136.612842,00103,0034: before calling execute


 *** DigiTrace Log Complete ***
