

*** Refreshing session trace for:	/Users/username/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh (pid=0xca2, version=22.9.0)
*** DigiTrace Config File:		/Users/username/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** DigiTrace Config File:		/Users/username/Documents/GitHub/Personal/ci-juce-test/SDK/DigiShell/Frameworks/AAXValidatorResources/Tools/CommandLineTools/dsh.digitrace
*** Machine UUID:			9E61.6EC0.89B3.A499
*** Facilities to trace:

DTF_DSI@DTP_NORMAL(0001)
DTF_COREAUDIO@DTP_NORMAL(0006)
DTF_GOLDSMITH@DTP_LOW(0034)
DTF_CORE_ENGINE_SETTINGS@DTP_LOWEST(0e0c)
DTF_AAXH_CLIENT@DTP_LOWEST(0f0a)

Time(s),Tid,Facility : Debug Message
---------------------------------------------------------------------------
317510.947506,00103,0034: execute succeeded
317510.947525,00103,0034: before writing message
317510.947718,00103,0034: writing message completed
317510.947724,00103,0034: waiting for command
317510.949356,00103,0034: cmd: "load_dish"
317510.949369,00103,0034: got: "---"
317510.949375,00103,0034: got: "- aaxh"
317510.949380,00103,0034: got: "..."
317510.949395,00103,0034: yaml parsing succeeded
317510.949476,00103,0034: parsed params:
---
- aaxh
317510.949490,00103,0034: got command
317510.949494,00103,0034: before check input parameters
317510.949498,00103,0034: before calling execute
317510.950550,00103,0034: dish directory doesn't exist "Macintosh HD:Library:Application Support:Avid:Audio:dishes:"
317510.951831,00103,0034: processing dish "Macintosh HD:Users:username:Documents:GitHub:Personal:ci-juce-test:SDK:DigiShell:Frameworks:AAXValidatorResources:Tools:CommandLineTools:Dishes:aaxh.dish:"
317511.046788,00103,0f0a: Initialize: enter
317511.046836,00103,0f0a: Initialize: exit (48 us)
317511.047049,00103,0034: AAXDishCommon::CSharedData created
317511.047566,00103,0034: yaml parsing succeeded
317511.047771,00103,0034: yaml parsing succeeded
317511.048644,00103,0034: yaml parsing succeeded
317511.048732,00103,0034: yaml parsing succeeded
317511.048805,00103,0034: yaml parsing succeeded
317511.048873,00103,0034: yaml parsing succeeded
317511.048990,00103,0034: yaml parsing succeeded
317511.049389,00103,0034: yaml parsing succeeded
317511.049502,00103,0034: yaml parsing succeeded
317511.050145,00103,0034: yaml parsing succeeded
317511.051386,00103,0034: yaml parsing succeeded
317511.051771,00103,0034: yaml parsing succeeded
317511.053061,00103,0034: yaml parsing succeeded
